"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",15148909
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",14452498
"1AE","AURORA ENERGY METALS LIMITED","2022-05-18","Materials",21391649
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",8358631
"1CG","ONE CLICK GROUP LIMITED","2017-04-28","Capital Goods",8230840
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",91478707
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services","N/A"
"29M","29METALS LIMITED","2021-07-02","Materials",943457954
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1119515706
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",54009828
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",152506396
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services","N/A"
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",358047000
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",59190618
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",116324276
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",647365287
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",51766875
"88E","88 ENERGY LIMITED","2000-01-20","Energy",200923393
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",20497276
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",17153088
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",42381422
"92E","92 ENERGY LIMITED","2021-04-15","Energy",39855237
"A11","ATLANTIC LITHIUM LIMITED","2022-09-26","Materials",417961745
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",13812993
"A1M","AIC MINES LIMITED","1993-11-04","Materials",189867708
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",135778365
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4898463546
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",6813849
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",514331762
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",10163496
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1063883308
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",13027805
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",6101990
"AAR","ASTRAL RESOURCES NL","1986-11-13","Materials",52567388
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",19492425
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",267857309
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",729632397
"ABC","ADBRI LIMITED","1962-05-31","Materials",1204097839
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",47666303
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2475431643
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",14028504
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",29066806
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",104478192
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",101059677
"ACE","ACUSENSUS LIMITED.","2023-01-12","Software & Services",90162832
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",180598140
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",619630426
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",7613498
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",94738602
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",20333900
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",11650682
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",15778570
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",164368946
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",7007313
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",624197987
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",61077460
"ADC","ACDC METALS LTD","2023-01-17","Materials",13014923
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",12243496
"ADG","ADELONG GOLD LIMITED","2007-03-21","Materials",7473512
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",483730800
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",174160472
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",103399204
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",19985753
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",17634787
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",900086936
"ADV","ARDIDEN LTD","2005-10-25","Materials",20162515
"ADX","ADX ENERGY LTD","1987-01-29","Energy",24631875
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",9125054
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",56601560
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",192096537
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",524436542
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",9580137
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",8590063
"AEV","AVENIRA LIMITED","2006-10-10","Materials",23660131
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",33283948
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",464844297
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9452530164
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",10212984
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",351301971
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",3253374
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",6500000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",30003256
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",138737199
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",11966017594
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",22405496
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",370473322
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5139788860
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",38245790
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",21250829
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",933930986
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",34778081
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","2006-06-30","Food, Beverage & Tobacco",23872836
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","2015-08-17","Software & Services",25487016
"AHK","ARK MINES LIMITED","2011-05-09","Materials",9146222
"AHL","ADRAD HOLDINGS LIMITED","2022-09-30","Automobiles & Components",82266555
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",9575143
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",40195837
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",108259737
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",11294467221
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic","N/A"
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",194055785
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",70804705
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",38152614
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",483661917
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",7777893
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",2425294308
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",38520430
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",13991989
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",10973960
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",8850694234
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",53708859
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",34011678
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",11548683
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",12272336
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",288995183
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",12600249
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",5204395
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",18625867
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",6853000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",202891048
"ALD","AMPOL LIMITED","1980-12-31","Energy",7294427250
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",309410380
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",427790728
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",404185000
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",22483148879
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",9140008
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",44160605
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",6328071630
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",9227602
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",5023653298
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",12745305
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",9822144196
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",18849220
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",20947525
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",225344746
"AMC","AMCOR PLC","1969-08-28","Materials",24871956664
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",20270121
"AME","ALTO METALS LIMITED","2012-12-20","Materials",42897084
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",320630178
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",179428396
"AML","AEON METALS LIMITED.","2007-06-14","Materials",33315019
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",7904000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",89389271
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",32126338
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",4093023335
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",32547507
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",8879032
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",55336417
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",5531660
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",120603017
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",183751969
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",24693441
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3630732564
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",138585733
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",60883002
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",4775626
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",26610664
"ANZ","ANZ GROUP HOLDINGS LIMITED","1969-09-30","Banks",73882822837
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",1572130
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",5553536
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",286027180
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",24113618
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",26098553
"APA","APA GROUP","2000-06-13","Utilities",12719255681
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",19388652
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",2906430367
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","2004-09-30","Diversified Financials",13557849
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2357157601
"APS","ALLUP SILICA LIMITED","2022-05-02","Materials",6929957
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",56316640
"APX","APPEN LIMITED","2015-01-07","Software & Services",318491598
"APZ","ASPEN GROUP","1991-04-11","Real Estate",335517807
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",83354629
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",14027537
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",24987963
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",24000000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",34251094
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",4400500
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",556142052
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",147606431
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",40791939
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",28395610
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",123602004
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",2524729038
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",8421379
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",19928392
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",12723743
"ARF","ARENA REIT.","2013-06-13","Real Estate",1300708539
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6956488548
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",138059731
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",23711587
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",18865039
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",107635392
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",159571511
"ARU","ARAFURA RARE EARTHS LTD","2003-11-05","Materials",1170296870
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",36176878
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",425182618
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",36585594
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",614338978
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",424110000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",100783133
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",283398886
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",294563731
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",111353093
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",53483917
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",16054641
"ASR","ASRA MINERALS LIMITED","1986-06-30","Materials",23473899
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",35780439
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",13274820258
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",31399005
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",228812715
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",142676587
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",24164184
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials",5047829424
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",10696794
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",93221783
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",47925458
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",9741894
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",37741502
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",17266493
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",11142991
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",11607300
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",2414395718
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",119738998
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",5400000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",15584127
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1287049923
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",3497788
"AUN","AURUMIN LIMITED","2020-12-09","Materials",11376825
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",23696889
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",7626015
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",116078833
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",30943444
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",35258138
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",54914146
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",70465656
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",60446395
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",25730171
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",152846284
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",294938701
"AVJ","AVJENNINGS LIMITED","1994-01-27","Consumer Durables & Apparel",174679213
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",130908757
"AVM","ADVANCE METALS LIMITED","2007-12-20","Materials",6960529
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",363256203
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",6401370
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials","N/A"
"AW1","AMERICAN WEST METALS LIMITED","2021-12-13","Materials",24429842
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4744249117
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",7328137
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",31641884
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",1165690511
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",10950451
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",158094176
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",33751665
"AXN","ALLIANCE NICKEL LIMITED","1980-08-21","Materials",64250628
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",23298723
"AYA","ARTRYA LIMITED","2021-11-26","Health Care Equipment & Services",38025937
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",18421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",7370310
"AYT","AUSTIN METALS LIMITED","2011-07-06","Materials",7111123
"AZI","ALTAMIN LIMITED","2009-12-24","Materials",31337340
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6810604733
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",180745343
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",101868976
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",82639940
"B4P","BEFOREPAY GROUP LIMITED","2022-01-17","Diversified Financials",18591953
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2168845875
"BAS","BASS OIL LIMITED","2004-09-30","Energy",45545936
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",11740969
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",60546897
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",102942664
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",358851261
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",70070430
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",61340184
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",102134735
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",13963268
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",568805622
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",24198138
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",351329318
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",213445339
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",112703045
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",17956914
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",7826132
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials","N/A"
"BDT","BIRDDOG TECHNOLOGY LIMITED","2021-12-20","Technology Hardware & Equipment",33736575
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",12686627
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco","N/A"
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",3806396
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5771648675
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",244933624
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",12113961
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",19766804
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",53920266
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",336781145
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2233311500
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1185204450
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",40456954
"BGE","BRIDGE SAAS LIMITED","2022-10-06","Software & Services",4869273
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",1411348524
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",957376020
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",17526299
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",5434929
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",249441004177
"BIM","BINDI METALS LIMITED","2022-06-28","Materials",5016000
"BIO","BIOME AUSTRALIA LIMITED","2021-11-30","Household & Personal Products",13117815
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",11799319
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",101068619
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",26607360
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",35713418
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1398092273
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1661096983
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",162136266
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3635603317
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",138196982
"BLD","BORAL LIMITED.","2000-02-21","Materials",3926994772
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",46884309
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",105495345
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",533738160
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",562248787
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",4410099
"BM8","BATTERY AGE MINERALS LTD","2020-11-04","Materials","N/A"
"BME","BLACK MOUNTAIN ENERGY LTD","2021-12-23","Energy",8160000
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",5403883
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",17369371
"BML","BOAB METALS LIMITED","2004-07-15","Materials",50594203
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",20615565
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",292642356
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",6527484
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",23391562
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",77091966
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",57102122
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",42593327
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",28184746
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",54917153
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",7769990
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",126334688
"BOD","BOD SCIENCE LIMITED","2016-10-27","Retailing",19140187
"BOE","BOSS ENERGY LTD","2007-07-25","Energy",860292423
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",62027260
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",4534770820
